gender,NationalITy,StageID,GradeID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
Male,Indian,lowerlevel,4,IT,F,15,16,2,20,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,4,IT,F,20,20,3,25,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,4,IT,F,10,7,0,30,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,IT,F,30,25,5,35,No,Bad,Above_Seven,L
Male,Indian,lowerlevel,4,IT,F,40,50,12,50,No,Bad,Above_Seven,M
Female,Indian,lowerlevel,4,IT,F,42,30,13,70,Yes,Bad,Above_Seven,M
Male,Indian,MiddleSchool,7,Math,F,35,12,0,17,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Math,F,50,10,15,22,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,7,Math,F,12,21,16,50,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,7,IT,F,70,80,25,70,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,Math,F,50,88,30,80,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,7,Math,F,19,6,19,12,Yes,Good,Under_Seven,M
Male,Indian,lowerlevel,4,IT,F,5,1,0,11,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Math,F,20,14,12,19,No,Bad,Above_Seven,L
Female,Indian,MiddleSchool,8,Math,F,62,70,44,60,No,Bad,Above_Seven,H
Female,Indian,MiddleSchool,6,IT,F,30,40,22,66,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,IT,F,36,30,20,80,No,Bad,Above_Seven,M
Male,Indian,MiddleSchool,7,Math,F,55,13,35,90,No,Bad,Above_Seven,M
Female,Indian,MiddleSchool,7,IT,F,69,15,36,96,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,7,IT,F,70,50,40,99,Yes,Good,Under_Seven,H
Female,Indian,MiddleSchool,7,IT,F,60,60,33,90,No,Bad,Above_Seven,M
Female,Indian,MiddleSchool,7,IT,F,10,12,4,80,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,7,IT,F,15,21,2,90,No,Bad,Under_Seven,M
Male,Indian,MiddleSchool,7,IT,F,2,0,2,50,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,IT,F,0,2,3,70,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,IT,F,8,7,30,40,Yes,Good,Above_Seven,L
Male,Indian,MiddleSchool,7,IT,F,19,19,25,40,Yes,Bad,Under_Seven,M
Male,Indian,MiddleSchool,8,Chemistry,F,25,15,12,33,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,8,Science,F,75,85,52,43,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,8,Chemistry,F,30,90,33,35,No,Bad,Under_Seven,M
Female,Indian,MiddleSchool,8,Chemistry,F,35,80,50,70,Yes,Good,Under_Seven,H
Male,Indian,MiddleSchool,7,IT,F,4,5,40,16,Yes,Good,Above_Seven,L
Female,Indian,lowerlevel,7,IT,F,2,19,10,50,Yes,Good,Above_Seven,L
Male,Indian,lowerlevel,5,English,F,8,22,9,40,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Science,F,12,11,8,40,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,English,F,10,12,17,30,No,Bad,Above_Seven,L
Male,Indian,MiddleSchool,7,Science,F,8,6,4,22,Yes,Good,Above_Seven,L
Female,Indian,MiddleSchool,7,IT,F,45,54,26,90,Yes,Good,Under_Seven,M
Male,Indian,MiddleSchool,6,IT,F,0,0,0,4,No,Bad,Above_Seven,L
Female,Indian,MiddleSchool,7,Science,F,50,90,37,70,Yes,Good,Under_Seven,M
Female,Indian,MiddleSchool,7,IT,F,14,13,3,70,No,Bad,Above_Seven,L
